"","Param","2.5%","50%","97.5%"
"1","Change-point",0.337391476333216,0.633464383348954,1.12670378632832
"2","HR 1",0.101945655501126,0.342036241250497,0.700990949618162
"3","HR 2",0.799221592862408,1.00563311785676,1.2745915453214
"4","HR Age",1.00704439523497,1.10832561929847,1.22607895059323
