"time"	"n.risk"	"n.event"	"n.censored"
0	274	0	7
0.22057745391389	267	6	5
0.373327402762228	256	4	4
0.519610183343911	248	5	7
0.723619432943719	236	8	7
0.927802932939403	221	4	4
1.07589678745022	213	10	1
1.177456081985	202	12	0
1.20948722911452	190	9	0
1.22800641432985	181	13	1
1.27540762551422	167	13	0
1.33293225073569	154	10	1
1.38812474662265	143	11	0
1.41554653355548	132	8	1
1.44015108946435	123	11	1
1.5351829736582	111	9	2
1.72057952965572	100	8	2
1.92620383974621	90	3	2
2.12904911770148	85	2	3
2.33338852594612	80	1	4
2.53088098136454	75	2	2
2.66427409729337	71	9	3
2.80360353915607	59	5	3
2.96771964708158	51	1	2
3.09382258559658	48	3	1
3.29513460444277	44	3	1
3.50207718661779	40	4	1
3.6990874716182	35	2	1
3.91044503973229	32	3	1
4.11457905858741	28	2	1
4.32672806245118	25	0	1
4.51565094951715	24	0	2
4.72502703666187	22	1	1
4.93174473886548	20	3	1
5.13596513643582	16	1	0
5.34337914706044	15	1	1
5.54461899907404	13	1	1
5.74904094697988	11	0	1
5.95335156231945	10	0	0
6.15752205218766	10	1	0
6.36182690894622	9	1	0
6.56612408759675	8	1	1
6.76433988477483	6	0	0
6.97348222028806	6	0	0
7.17598165115664	6	1	0
7.38344333003521	5	0	1
7.58783456550898	4	0	0
7.79222580098275	4	0	1
7.99661703645651	3	0	0
8.20723185836168	3	0	2
8.40539950740405	1	0	1
8.56208336713619	0	0	0
