"time" "survival" "NA." "NA..1"
0.0332422977128792 0.993245634841372 1 1
0.0683549297484298 0.97175521128089 1 1
0.0941452499333181 0.947219156762874 1 1
0.126579438861524 0.858790644132325 1 1
0.188885446097871 0.730935200905489 1 1
0.211571550184598 0.662309124626081 1 1
0.223614088572474 0.598099914022027 1 1
0.226518789919294 0.557243916242218 1 1
0.247385830217518 0.446467352857951 1 1
0.248048656220102 0.39208023159636 1 1
0.250360561373695 0.332275749858517 1 1
0.259767899097119 0.282872335408413 1 1
0.279528898415127 0.251560554612337 1 1
0.328997850435879 0.152083531842278 1 1
0.386794908857431 0.121599942396313 1 1
0.422938890636904 0.0990687863353396 1 1
0.496742569560794 0.0771578947368423 1 1
0.562851078170344 0.0527176797688255 1 1
0.639802781313737 0.0527176797688255 1 1
0.71411726077088 0.0527176797688255 1 1
0.790208382912186 0.0527176797688255 1 1
0.947609593887306 0.0475918994700828 1 1
1.0298080040632 0.0413421406338425 1 1
1.10151300017409 0.0346346529814269 1 1
1.17846470331748 0.0291888537325719 1 1
1.25541640646087 0.027134942377939 1 1
1.33236810960426 0.0244941992076965 1 1
1.40931981274766 0.0219590857642639 1 1
1.48627151589105 0.0182972552348612 1 1
1.56322321903444 0.0178277897823737 1 1
1.64017492217783 0.0153396228841899 1 1
1.71712662532123 0.0151987832484437 1 1
1.79407832846462 0.0151987832484437 1 1
1.87103003160801 0.0151987832484437 1 1
1.9479817347514 0.0151987832484437 1 1
2.0249334378948 0.0151987832484437 1 1
2.10188514103819 0.0151987832484437 1 1
2.17883684418158 0.0151987832484437 1 1
2.25578854732497 0.0151987832484437 1 1
2.33274025046837 0.0151987832484437 1 1
2.40969195361176 0.0151987832484437 1 1
2.48664365675515 0.0151987832484437 1 1
2.56359535989854 0.0151987832484437 1 1
2.64054706304194 0.0151987832484437 NA NA
