"time"	"n.risk"	"n.event"	"n.censored"
0.0700489390246206	336	0	2
0.195861912589989	334	0	2
0.320435349469985	332	0	2
0.431249929142339	330	0	2
0.558426393061617	328	0	2
0.689108975033809	326	0	2
0.801762938608922	324	0	2
0.923082591689813	322	0	2
1.04327593499409	320	0	7
1.17285519310347	313	0	7
1.30066096026302	306	0	6
1.41254464032651	300	0	6
1.53270222776486	294	0	7
1.66205673471701	287	1	7
1.78705515560342	279	0	6
1.90340116773425	273	0	7
2.03258966530889	266	0	6
2.15618918050752	260	0	6
2.27881477402479	254	0	6
2.39141510380102	248	0	6
2.52185250269259	242	0	6
2.64199221219798	236	1	7
2.7717430984638	228	1	5
2.86991440394535	222	1	5
2.97403548551669	216	1	5
3.08050215189266	210	2	3
3.15680516977495	205	1	4
3.26500242006165	200	0	6
3.39973052286413	194	1	5
3.51275271176437	188	2	5
3.63743551952837	181	2	6
3.75855596135625	173	0	5
3.88286378323224	168	1	5
4.01022617765432	162	3	5
4.1405634601213	154	0	4
4.25867581202879	150	2	5
4.380413808741	143	0	5
4.5020123575761	138	1	5
4.62612096819908	132	0	5
4.75232129697862	127	1	4
4.86776421809583	122	0	6
4.99525942001992	116	1	4
5.12116093191995	111	0	3
5.25159833081152	108	1	4
5.36844850065189	103	1	3
5.49531031295103	99	1	3
5.6120174593277	95	0	4
5.73770647922453	91	1	4
5.86209398560172	86	0	3
5.98616684035878	83	0	3
6.10426846550649	80	1	4
6.22698259735842	75	2	4
6.3291779701507	69	1	1
6.35945808060767	67	2	5
6.48217221245961	60	1	5
6.61116149878124	54	1	5
6.73108667309109	48	1	4
6.84516576332233	43	0	4
6.93746953120571	39	1	3
7.03252650076526	35	1	2
7.15152202256107	32	1	2
7.25707333876938	29	1	2
7.3900851600075	26	0	2
7.50850858794852	24	0	2
7.63122271980046	22	0	3
7.7539368516524	19	0	2
7.87665098350433	17	0	2
7.99936511535627	15	0	1
8.07023744819054	14	1	0
8.20017005838671	13	0	1
8.27826086956521	12	0	1
8.43444249192222	11	0	2
8.6573010384359	9	1	2
8.92529901932997	6	0	0
9.0480131511819	6	0	0
9.16913359300979	6	0	0
9.22650643387563	6	0	0
9.22708409252256	6	1	1
9.27112975454906	4	0	0
9.39384388640099	4	0	1
9.51469871322487	3	0	1
9.63927215010486	2	0	0
9.7619862819568	2	0	1
9.88470041380874	1	0	0
10.0074145456606	1	0	0
10.1301286775126	1	0	0
10.2432806692202	1	0	1
10.3755569412164	0	0	0
10.4982710730684	0	0	0
10.6209852049203	0	0	0
10.7436993367722	0	0	0
