"time" "survival" "NA." "NA..1"
0.119573073998629 1.00003405007059 1 1
0.408556757851315 0.993844912636665 1 1
0.719860319725144 0.975041413241559 1 1
1.00273540538257 0.946167471167531 1 1
1.25710369946211 0.90443637691462 1 1
1.57506406706155 0.86513394308884 1 1
1.81823326444978 0.837794578022742 1 1
2.03391376995935 0.802500011794872 1 1
2.12601263505712 0.756079053671183 1 1
2.20166527424457 0.712420448989415 1 1
2.30280956359301 0.69387876389435 1 1
2.66462653361995 0.684552724133527 1 1
2.91954303522984 0.679723158744349 1 1
3.62261919289583 0.67255614217443 1 1
3.922175450548 0.650304070604901 1 1
4.11600597020529 0.626789476337162 1 1
4.17767931736897 0.595248720329564 1 1
4.32569535056181 0.559892234383821 1 1
5.09044485539148 0.554540076023647 1 1
5.456373381896 0.529342738930115 1 1
5.71598880519456 0.513979962731111 1 1
5.9485854287833 0.504972606025299 1 1
6.14711487012926 0.478825842342193 1 1
6.23756911263599 0.437761659304123 1 1
6.29307512508331 0.389914934268276 1 1
6.36091580696336 0.33594747419106 1 1
6.61113338688459 0.296018631332095 1 1
6.85430258427282 0.289623022162867 1 1
7.25175304377211 0.289623022162867 1 1
7.64372142796797 0.289623022162867 1 1
7.99183320973631 0.284609826413191 1 1
8.21933933482901 0.284609826413191 1 1
8.38791315040974 0.258186301455895 1 1
8.54303096297295 0.225940098700971 1 1
8.79084568521247 0.212553467966587 1 1
9.19788977649278 0.212553467966587 1 1
9.61726853720583 0.212553467966587 1 1
10.0366472979188 0.212553467966587 1 1
10.3608728944365 0.211609846350564 1 1
10.5522364802072 0.182409989986868 1 1
10.7643927944503 0.167817779967036 1 1
10.9987515136723 0.155196186771201 1 1
11.3441222577889 0.151072420771789 1 1
11.7511663490692 0.151072420771789 1 1
12.182879779215 0.151072420771789 1 1
12.5352989058646 0.134904397537547 1 1
12.8736212674483 0.10623142564642 1 1
13.2806653587286 0.10623142564642 1 1
13.7123787888743 0.10623142564642 1 1
14.0741957589013 0.0749877680034472 1 1
14.5017976325695 0.0749877680034472 1 1
14.9211763932825 0.0749877680034472 1 1
15.3405551539956 0.0749877680034472 1 1
15.7475992452759 0.0749877680034472 1 1
16.1669780059889 0.0749877680034472 0 1
