"time"	"n.risk"	"n.event"	"n.censored"
0.423596174993974	154	0	1
0.91542328067161	153	4	1
1.13470086501717	148	2	1
1.65683458546817	145	2	1
2.00840430490018	142	2	2
2.55227251992024	138	1	1
3.09962846874182	136	4	0
3.50439308653669	132	1	0
4.07252602663953	131	3	0
4.59374550478759	128	3	0
5.07084698137012	125	3	0
5.63493116203265	122	3	0
6.10844851973002	119	2	0
6.62759791580824	117	0	0
7.09654210889901	117	3	0
7.5960697675353	114	2	0
8.03494318169564	112	1	0
8.71641078768799	111	1	0
9.28423741788302	110	1	0
9.98843868769206	109	1	0
10.6239422296861	108	3	0
10.9872798158899	105	1	0
11.6005350373962	104	1	0
12.2592803726078	103	1	0
12.9402876999501	102	3	0
13.4306621935517	99	1	0
13.8257179916756	98	2	0
14.4162509424012	96	1	0
15.1200466201326	95	2	0
15.5816764841814	93	2	0
16.0283837498203	91	1	0
16.5278049649498	90	1	0
17.1183554935022	89	1	0
17.7316517299378	88	1	0
18.3221094866265	87	2	0
19.026328985293	85	0	0
19.6167635001885	85	2	0
20.2982885270817	83	0	0
20.9799446360315	83	0	0
21.4871780262792	83	1	7
22.1649815283559	75	2	5
22.6743170994423	68	0	16
24.1634030684933	52	2	5
24.6946104305885	45	0	4
25.1138604797304	41	0	4
25.5909939870195	37	0	7
26.2461698840864	30	0	3
26.6059289177168	27	0	5
27.1587600340722	22	0	3
27.8460870784233	19	0	3
28.2676159626041	16	0	3
28.7765292042073	13	0	3
29.3703624895697	10	0	3
29.7793223486949	7	0	2
30.2907996448119	5	1	1
30.8077238478153	3	0	1
31.2905721019073	2	0	1
31.7904620590849	1	0	1
32.6312024839462	0	0	0
