"time"	"n.risk"	"n.event"	"n.censored"
0.0659761756298236	336	0	5
0.19028399750581	331	0	6
0.312998129357746	325	2	5
0.435712261209682	318	1	6
0.558426393061617	311	0	6
0.681140524913553	305	2	6
0.813416796909796	297	1	5
0.92037110519056	291	2	6
1.06826791484123	283	5	13
1.26986943294975	265	2	9
1.41047937569676	254	4	12
1.60388704883914	238	4	12
1.78179894288958	222	4	8
1.90248474198363	210	0	5
1.98637265461141	205	5	8
2.11499281419954	192	1	3
2.21413752054872	188	2	1
2.24295674848364	185	6	5
2.36492715832435	174	0	4
2.48924315296969	170	1	5
2.60631807396729	164	3	2
2.67644043502554	159	2	4
2.78959242673317	153	2	5
2.90585323183181	146	2	3
2.98419968633675	141	1	3
3.09159668629086	137	1	4
3.21351397313077	132	0	5
3.33622810498271	127	1	5
3.46489201292443	121	1	4
3.57181298912626	116	0	5
3.70646221869508	111	0	4
3.82336602233433	107	0	5
3.94979876424238	102	0	4
4.07251289609432	98	0	3
4.20102412939553	95	1	4
4.31794115979819	90	0	4
4.44065529165013	86	1	4
4.56336942350207	81	0	4
4.686083555354	77	0	3
4.80879768720594	74	1	4
4.91291876877728	69	2	3
5.0384765436133	64	0	2
5.15462842242503	62	0	3
5.27385635734935	59	1	2
5.39113202199421	56	0	3
5.52277081798083	53	1	2
5.63370935132173	50	2	3
5.75066849142014	45	1	3
5.89177135431883	41	0	2
6.01269769287455	39	0	1
6.1140298169038	38	1	1
6.16980896774559	36	2	2
6.28596084655731	32	1	2
6.41058896887931	29	0	2
6.5379513633014	27	0	2
6.66066549515333	25	0	2
6.78337962700527	23	0	2
6.9060937588572	21	0	1
7.01579275551272	20	0	0
7.1018667520293	20	1	1
7.15	18	0	0
7.19034824178523	18	0	1
7.34581939799331	17	1	1
7.45923700470494	15	0	1
7.58659939912703	14	0	1
7.70931353097896	13	0	0
7.77624851198911	13	1	1
7.84318349299926	11	0	0
7.9101184740094	11	1	1
8.05600240698024	9	0	1
8.1821491019609	8	0	1
8.30829579694156	7	0	1
8.42793492432401	6	0	1
8.5428134135577	5	0	1
8.66871492545773	4	0	1
8.79142905730967	3	0	1
8.91414318916161	2	0	1
9.03685732101354	1	0	0
9.1632900629216	1	0	0
9.28228558471741	1	0	0
9.40499971656935	1	0	0
9.52771384842128	1	0	0
9.65042798027322	1	0	0
9.77314211212516	1	0	0
9.89585624397709	1	0	0
10.018570375829	1	0	1
10.1412845076809	0	0	0
